"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"Ppl","catA2",23,2.52637344578781,0,"Positive"
"Ppl","rmtB",26,2.71092637691098,0,"Positive"
"Ppl","aadA2",46,1.97975145481536,0,"Positive"
"Ppl","mph(A)",55,2.07201057863142,0,"Positive"
"Ppl","dfrA12",49,2.45717705123139,0,"Positive"
"Ppl","mcr-3",14,4.18531540906222,0,"Positive"
"AbiR","tet(L)",20,5.55660179823492,0,"Positive"
"AbiR","tet(M)",20,4.90808385122901,0,"Positive"
"AbiR","erm(B)",15,3.62765112833481,0,"Positive"
"AbiR","catA",11,5.01034315130962,0,"Positive"
"AbiV","str",19,6.21733309936694,0,"Positive"
"AbiV","tet(L)",53,7.00930317087383,0,"Positive"
"AbiV","tet(M)",51,6.09748633422739,0,"Positive"
"AbiV","optrA",11,4.89070129223161,0,"Positive"
"AbiV","fexA",11,4.75385199603228,0,"Positive"
"AbiV","dfrG",23,5.84131595051873,0,"Positive"
"AbiV","aph(3')-IIIa",20,3.68751998394552,0,"Positive"
"AbiV","erm(B)",37,4.33379655766532,0,"Positive"
"AbiV","catA",37,6.3693719634866,0,"Positive"
"AbiV","ant(6)-Ia",16,3.95937849179241,0,"Positive"
"AbiV","sat4",18,3.9807167395001,0,"Positive"
"Gabija","sul1",285,1.04853595516766,0,"Positive"
"Gabija","aph(6)-Id",206,0.910028501085638,0,"Negative"
"Gabija","aph(3'')-Ib",206,0.933465050762913,0,"Negative"
"Gabija","sul2",196,0.809870124572511,0,"Negative"
"Gabija","qnrB",77,0.832322765976149,0,"Negative"
"Gabija","blaKPC",227,2.112496789811,0,"Positive"
"Gabija","tet(A)",230,1.12936872246916,0,"Positive"
"Gabija","blaTEM",365,1.278623974602,0,"Positive"
"Gabija","blaCTX-M",333,1.63171637230398,0,"Positive"
"Gabija","fosA",63,1.83439384078822,0,"Positive"
"Gabija","catA2",73,1.8161913488856,0,"Positive"
"Gabija","rmtB",136,2.73366527044897,0,"Positive"
"Gabija","blaOXA",171,0.974062317715496,0,"Negative"
"Gabija","aadA2",95,0.647563607129379,0,"Negative"
"Gabija","arr",50,1.31011886343368,0,"Positive"
"Gabija","aac(3)-IId",74,0.858514788057617,0,"Negative"
"Gabija","catB",40,3.01843960754349,0,"Positive"
"Gabija","mph(A)",210,1.44720781844677,0,"Positive"
"Gabija","dfrA17",138,2.15241979411039,0,"Positive"
"Gabija","aadA5",127,2.0645270654524,0,"Positive"
"Gabija","blaSHV",88,1.49830875210558,0,"Positive"
"Gabija","aac(6')-Ib",62,0.796885568595634,0,"Negative"
"Gabija","dfrA14",63,1.22636873474657,0,"Positive"
"Gabija","aac(3)-IIe",62,1.32435341775316,0,"Positive"
"Gabija","dfrA12",88,0.972528384734207,0,"Negative"
"Gabija","tet(B)",85,1.63920884644063,0,"Positive"
"Gabija","catB3",142,1.56448645006959,0,"Positive"
"Gabija","aac(6')-Ib-cr",157,1.50463790854516,0,"Positive"
"Gabija","rmtF",39,3.77801653366615,0,"Positive"
"Tmn","sul1",84,1.22678421655358,0,"Positive"
"Tmn","aph(6)-Id",105,1.77640112678982,0,"Positive"
"Tmn","aph(3'')-Ib",104,1.78587309930142,0,"Positive"
"Tmn","sul2",103,1.71181339108983,0,"Positive"
"Tmn","tet(A)",112,1.94520009852959,0,"Positive"
"Tmn","blaTEM",140,1.83849293513038,0,"Positive"
"Tmn","blaCTX-M",66,1.27282488988611,0,"Positive"
"Tmn","aadA2",53,1.53601220068096,0,"Positive"
"Tmn","floR",41,1.39984594573326,0,"Positive"
"Tmn","aac(3)-IId",39,1.65689867279289,0,"Positive"
"Tmn","mph(A)",111,2.34269130109564,0,"Positive"
"Tmn","dfrA17",67,2.8058516676395,0,"Positive"
"Tmn","aadA5",52,2.5062628941419,0,"Positive"
"Tmn","dfrA14",31,1.92216993515301,0,"Positive"
"Tmn","bleO",18,2.1235189507969,0,"Positive"
"Tmn","dfrA12",52,1.91228217293752,0,"Positive"
"Tmn","tet(B)",42,2.32713186386083,0,"Positive"
"AbiJ","dfrA14",28,2.38829835015067,0,"Positive"
"CBASS type II","tet(D)",18,2.05033140982362,0,"Positive"
"CBASS type II","sul1",107,1.63763395091343,0,"Positive"
"CBASS type II","msr(E)",57,2.96582260430144,0,"Positive"
"CBASS type II","mph(E)",58,2.99318039414936,0,"Positive"
"CBASS type II","aph(6)-Id",54,1.02291556958626,0,"Positive"
"CBASS type II","aph(3'')-Ib",56,1.0880347585784,0,"Positive"
"CBASS type II","sul2",66,1.22580387127804,0,"Positive"
"CBASS type II","tet(A)",51,1.03365969901038,0,"Positive"
"CBASS type II","blaOXA",81,1.79690272706715,0,"Positive"
"CBASS type II","aac(3)-IId",66,2.36565103522991,0,"Positive"
"CBASS type II","qnrS",48,1.80489424430507,0,"Positive"
"CBASS type II","blaLAP",41,3.21820105646216,0,"Positive"
"CBASS type II","blaIMP",21,2.6964307073856,0,"Positive"
"CBASS type II","arr-3",35,2.05019645092038,0,"Positive"
"CBASS type II","aph(3')-VIa",33,3.78902115985008,0,"Positive"
"CBASS type II","cml",12,3.74674857627393,0,"Positive"
"CBASS type II","aac(6')-IIa",13,4.34922200504186,0,"Positive"
